Team,EP,ExpectedPoints,ActualPoints,LogoUrl,Logo
Manchester City,43.09,43,43,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/380px-Manchester_City_FC_badge.svg.png,
Arsenal,39.24,39,43,https://upload.wikimedia.org/wikipedia/hif/8/82/Arsenal_FC.png,
Liverpool,38.79,38,48,https://upload.wikimedia.org/wikipedia/hif/b/bd/Liverpool_FC.png,
Aston Villa,37.00,37,43,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Aston_Villa_logo.svg/300px-Aston_Villa_logo.svg.png,
Chelsea,36.80,36,31,https://upload.wikimedia.org/wikipedia/hif/0/0d/Chelsea_FC.png?20150523181450,
Newcastle United,35.13,35,29,https://upload.wikimedia.org/wikipedia/hif/thumb/2/25/Newcastle_United_Logo.png/460px-Newcastle_United_Logo.png,
Everton,31.52,31,17,https://upload.wikimedia.org/wikipedia/hif/thumb/0/07/Everton_F.C._%282014%E2%80%93%29.png/420px-Everton_F.C._%282014%E2%80%93%29.png,
Tottenham,31.11,31,40,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/240px-Tottenham_Hotspur.svg.png,
Brighton,30.50,30,32,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Brighton_%26_Hove_Albion_logo.svg/400px-Brighton_%26_Hove_Albion_logo.svg.png,
Brentford,30.04,30,22,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Brentford_FC_crest.svg/360px-Brentford_FC_crest.svg.png,
Bournemouth,25.43,25,25,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/AFC_Bournemouth_%282013%29.svg/300px-AFC_Bournemouth_%282013%29.svg.png,
Crystal Palace,24.80,24,21,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Crystal_Palace_FC_logo_%282022%29.svg/350px-Crystal_Palace_FC_logo_%282022%29.svg.png,
Manchester United,24.79,24,32,https://upload.wikimedia.org/wikipedia/hif/f/ff/Manchester_United_FC_crest.png,
West Ham,23.88,23,35,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/350px-West_Ham_United_FC_logo.svg.png,
Fulham,23.25,23,24,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/300px-Fulham_FC_%28shield%29.svg.png,
Nottingham Forest,22.98,22,20,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Nottingham_Forest_F.C._logo.svg/220px-Nottingham_Forest_F.C._logo.svg.png,
Wolves,22.88,22,29,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Wolverhampton_Wanderers.svg/400px-Wolverhampton_Wanderers.svg.png,
Burnley,17.71,17,12,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Burnley_FC_Logo.svg/360px-Burnley_FC_Logo.svg.png,
Luton,15.53,15,16,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Luton_Town_logo.svg/360px-Luton_Town_logo.svg.png,
Sheffield United,12.64,12,10,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Sheffield_United_FC_logo.svg/380px-Sheffield_United_FC_logo.svg.png,
